,L/C Price,Sub Type,St#,St Name,City,Br/Ba,YrBuilt,Age,house_price,City Name,Address,Lat,Lng
22,"$335,000 ",SFR/D,9531,Deerbrook St   ,RCUC,"3/2,0,0,0",1977/ASR,41,"335,000 ",Rancho Cucamonga ,9531 Deerbrook St    Rancho Cucamonga ,34.085893,-117.5971134
23,"$335,000 ",TWNHS/A,1176,Denver Lane    #A,ELC,"3/1,0,1,0",1973/ASR,45,"335,000 ",El Cajon ,1176 Denver Lane    #A El Cajon ,32.810994,-116.94999
24,"$336,000 ",SFR/D,2815,Clark WAY  ,CHIC,"3/2,0,0,0",2018/BLD,0,"336,000 ",,2815 Clark WAY   ,39.7597704,-121.868981
25,"$346,000 ",SFR/D,1456,Paradise Rd.   ,SD,"3/2,0,0,0",1960,58,"346,000 ",San Diego (City) ,1456 Paradise Rd.    San Diego (City) ,32.6928149,-117.0763053
26,"$355,000 ",CONDO/A,121 W,Glaucus St    #A,ENCS,"0/1,0,0,0",1975,43,"355,000 ",Encinitas ,121 W Glaucus St    #A Encinitas ,33.067823,-117.304072
27,"$370,000 ",SFR/D,6051,Thorn   ,SD,"3/1,0,0,0",1954,64,"370,000 ",San Diego (City) ,6051 Thorn    San Diego (City) ,32.7419913,-117.0654101
28,"$370,000 ",SFR/D,1169,Bellflower WAY  ,LBAN,"4/2,0,0,0",2007/ASR,11,"370,000 ",,1169 Bellflower WAY   ,37.0496709,-120.87537
29,"$375,000 ",CONDO/A,3985,Nobel Drive    #335,SD,"1/1,0,0,0",1987,31,"375,000 ",San Diego (City) ,3985 Nobel Drive    #335 San Diego (City) ,32.8674585,-117.2212127
30,"$377,000 ",CONDO/A,11366,VIA RANCHO SAN DIEGO    #J,ELC,"2/2,0,0,0",1994,24,"377,000 ",El Cajon ,11366 VIA RANCHO SAN DIEGO    #J El Cajon ,32.7459116,-116.9352569
31,"$379,500 ",SFR/D,7891,Hillside   ,LMSA,"3/1,0,0,0",1944,74,"379,500 ",La Mesa ,7891 Hillside    La Mesa ,32.7684867,-117.0272957
32,"$380,000 ",SFR,739,Fern St   ,ESC,"3/2,0,1,0",1960,58,"380,000 ",Escondido ,739 Fern St    Escondido ,33.1430198,-117.0575373
33,"$385,000 ",SFR/D,714,Garrett Avenue   ,CHU,"3/1,0,0,0",1953/ASR,65,"385,000 ",Chula Vista ,714 Garrett Avenue    Chula Vista ,32.6261783,-117.0769489
34,"$390,000 ",SFR/D,3825,Rosemary Way   ,OCE,"2/2,0,0,0",1976,42,"390,000 ",Oceanside ,3825 Rosemary Way    Oceanside ,33.215545,-117.3199843
35,"$390,000 ",CONDO/A,425 W,Beech St    #230,SD,"1/1,0,0,0",2004,14,"390,000 ",San Diego (City) ,425 W Beech St    #230 San Diego (City) ,32.7203803,-117.1669418
36,"$396,000 ",SFR/D,116,Winchester CT  ,CHIC,"3/2,0,1,0",2005/ASR,13,"396,000 ",,116 Winchester CT   ,39.7408517,-121.8692315
37,"$400,000 ",SFR/D,3919,Marron   ,SD,"4/2,0,0,0",1951/ASR,67,"400,000 ",San Diego (City) ,3919 Marron    San Diego (City) ,32.7494389,-117.0658699
38,"$405,000 ",SFR/D,4643,Pomona   ,LMSA,"3/2,0,0,0",1954,64,"405,000 ",La Mesa ,4643 Pomona    La Mesa ,32.7632844,-117.0379169
39,"$410,000 ",SFR/D,1205,napa   ,CHU,"3/2,0,0,0",1960,58,"410,000 ",Chula Vista ,1205 napa    Chula Vista ,32.6171007,-117.0420549
40,"$415,000 ",SFR/D,420,Fowles   ,OCE,"3/1,0,1,0",1960,58,"415,000 ",Oceanside ,420 Fowles    Oceanside ,33.2032143,-117.3418844
41,"$422,000 ",CONDO/A,8640,Via Mallorca    #E,LAJ,"1/1,0,0,0",1971,47,"422,000 ",La Jolla ,8640 Via Mallorca    #E La Jolla ,32.864142,-117.234047
42,"$435,000 ",SFR/D,1132 E,4Th Ave   ,ESC,"3/2,0,0,0",1957/ASR,61,"435,000 ",Escondido ,1132 E 4Th Ave    Escondido ,33.1242792,-117.0649964
43,"$435,062 ",SFR/D,3229,Gibson Landing   ,CHIC,"3/2,0,0,0",2018/BLD,0,"435,062 ",,3229 Gibson Landing    ,,
44,"$440,000 ",CONDO/A,640,Camino De La Reina    #1307,SD,"2/2,0,0,0",1995,23,"440,000 ",San Diego (City) ,640 Camino De La Reina    #1307 San Diego (City) ,32.7672822,-117.1589502
45,"$440,000 ",SFR/D,826,GERAGHTY AVE  ,LA,"2/1,0,0,0",1925,93,"440,000 ",Los Angeles (City) ,826 GERAGHTY AVE   Los Angeles (City) ,34.0459498,-118.1827307
46,"$449,000 ",CONDO/A,3775,Georgia Street    #306,SD,"2/2,0,0,0",1990,28,"449,000 ",San Diego (City) ,3775 Georgia Street    #306 San Diego (City) ,32.7469369,-117.1446159
47,"$455,000 ",SFR/D,419 W,7Th Ave   ,ESC,"3/2,0,0,0",1958,60,"455,000 ",Escondido ,419 W 7Th Ave    Escondido ,33.1138204,-117.0820514
48,"$457,000 ",CONDO,3535 S,Sundown   ,OCE,"3/2,0,0,0",1976/ASR,42,"457,000 ",Oceanside ,3535 S Sundown    Oceanside ,33.180393,-117.283716
49,"$458,790 ",SFR/D,3212,Gibson Landing   ,CHIC,"4/3,0,0,0",2018/BLD,0,"458,790 ",,3212 Gibson Landing    ,,
50,"$475,000 ",SFR/D,8067,Darryl St.   ,LEG,"2/1,0,0,0",1953,65,"475,000 ",Lemon Grove ,8067 Darryl St.    Lemon Grove ,32.7394568,-117.0244449
51,"$480,000 ",SFR,40360,Lakeshore Blvd   ,AGNA,"4/2,0,1,0",1990,28,"480,000 ",Aguanga ,40360 Lakeshore Blvd    Aguanga ,33.5360055,-116.8037123
52,"$485,000 ",SFR/D,9625,Abbeyfield   ,SAN,"3/2,0,0,0",1960,58,"485,000 ",Santee ,9625 Abbeyfield    Santee ,32.8497316,-116.9887604
53,"$492,000 ",CONDO/A,120,Island Avenue    #323,SD,"1/1,0,0,0",2002,16,"492,000 ",San Diego (City) ,120 Island Avenue    #323 San Diego (City) ,32.7109203,-117.1633089
54,"$500,000 ",SFR,4689,Tonopah Ave   ,SD,"2/1,0,0,0",1952/ASR,66,"500,000 ",San Diego (City) ,4689 Tonopah Ave    San Diego (City) ,32.7750137,-117.2037296
55,"$502,500 ",SFR,5457,Barclay Ave   ,SD,"3/2,0,0,0",1956,62,"502,500 ",San Diego (City) ,5457 Barclay Ave    San Diego (City) ,32.7969444,-117.0738229
56,"$510,000 ",CONDO/A,7908,Camino Tranquilo   ,SD,"2/2,0,0,0",1977,41,"510,000 ",San Diego (City) ,7908 Camino Tranquilo    San Diego (City) ,32.8615932,-117.2191561
57,"$516,400 ",SFR/D,3694,Christine Street   ,SD,"3/2,0,0,0",1958,60,"516,400 ",San Diego (City) ,3694 Christine Street    San Diego (City) ,32.8342533,-117.2078091
58,"$522,000 ",CONDO/A,7917,Camino Glorita   ,SD,"3/1,0,1,0",1972/ASR,46,"522,000 ",San Diego (City) ,7917 Camino Glorita    San Diego (City) ,32.860887,-117.216194
59,"$525,000 ",SFR,1392 S,Citrus   ,ESC,"4/2,0,0,0",1968,50,"525,000 ",Escondido ,1392 S Citrus    Escondido ,33.1239505,-117.0392848
60,"$528,000 ",CONDO,2232,Caminito Pajarito    #113,SD,"2/2,0,1,0",1978,40,"528,000 ",San Diego (City) ,2232 Caminito Pajarito    #113 San Diego (City) ,32.742755,-117.2307862
61,"$545,000 ",SFR/D,434,Via Emily   ,OCE,"3/2,0,0,0",1975,43,"545,000 ",Oceanside ,434 Via Emily    Oceanside ,33.2379809,-117.3205353
62,"$550,000 ",SFR/D,6931,Boxford   ,SD,"3/2,0,0,0",1965/ASR,53,"550,000 ",San Diego (City) ,6931 Boxford    San Diego (City) ,32.8229409,-117.1657892
63,"$560,000 ",SFR/D,1111,Loma Vista Way   ,VST,"3/2,0,0,0",1979,39,"560,000 ",Vista ,1111 Loma Vista Way    Vista ,33.1874595,-117.2080357
64,"$565,300 ",CONDO/A,1290,Via Portofino   ,SAM,"2/2,0,0,0",1989,29,"565,300 ",San Marcos ,1290 Via Portofino    San Marcos ,33.1211106,-117.2134264
65,"$568,500 ",CONDO,235,Market    #405,SD,"2/2,0,0,0",2002,16,"568,500 ",San Diego (City) ,235 Market    #405 San Diego (City) ,32.7111617,-117.1626416
66,"$570,000 ",TWNHS,1225,Pacific Beach Dr   ,SD,"2/1,0,1,0",1975,43,"570,000 ",San Diego (City) ,1225 Pacific Beach Dr    San Diego (City) ,32.7924795,-117.2456574
67,"$575,000 ",SFR/D,4350,33rd St   ,SD,"2/2,0,0,0",1935,83,"575,000 ",San Diego (City) ,4350 33rd St    San Diego (City) ,32.7563255,-117.1224424
68,"$580,000 ",SFR/D,8867,SANDMARK AVE   ,SD,"4/2,0,0,0",1958,60,"580,000 ",San Diego (City) ,8867 SANDMARK AVE    San Diego (City) ,32.7889056,-117.1408828
69,"$598,130 ",SFR/D,10885,Angola Rd   ,SD,"4/2,0,0,0",1973,45,"598,130 ",San Diego (City) ,10885 Angola Rd    San Diego (City) ,32.9156834,-117.1579316
70,"$607,500 ",CONDO,815,Harbor Cliff Way    #241,OCE,"4/2,0,1,0",2005/ASR,13,"607,500 ",Oceanside ,815 Harbor Cliff Way    #241 Oceanside ,33.2050577,-117.3800442
71,"$629,000 ",SFR/D,4217,Highland Glen Way   ,LMSA,"5/2,0,1,0",1969/ASR,49,"629,000 ",La Mesa ,4217 Highland Glen Way    La Mesa ,32.7579966,-116.9917037
72,"$633,000 ",TWNHS/A,104,Countrywood   ,ENCS,"3/2,0,1,0",1978,40,"633,000 ",Encinitas ,104 Countrywood    Encinitas ,33.0470678,-117.2450737
73,"$640,000 ",DPLX,4572,Cordoba Way   ,OCE,"2/2,0,1,0",1984,34,"640,000 ",Oceanside ,4572 Cordoba Way    Oceanside ,33.164194,-117.264876
74,"$640,000 ",CONDO/A,6887,Alderwood Drive   ,CAR,"2/2,0,0,0",1987,31,"640,000 ",Carlsbad ,6887 Alderwood Drive    Carlsbad ,33.1075404,-117.303922
75,"$650,000 ",SFR/D,15065,Garden Rd   ,POW,"4/2,0,1,0",1989/ASR,29,"650,000 ",Poway ,15065 Garden Rd    Poway ,32.9579821,-117.0030165
76,"$665,000 ",SFR/D,2465 S,Summit Circle Gln   ,ESC,"4/2,0,1,0",1992,26,"665,000 ",Escondido ,2465 S Summit Circle Gln    Escondido ,33.1642573,-117.137574
77,"$699,000 ",SFR/D,3411,Big Boulder Lane   ,ALP,"5/3,0,0,0",1985,33,"699,000 ",Alpine ,3411 Big Boulder Lane    Alpine ,32.8429948,-116.7533052
78,"$700,000 ",SFR,2915,Sylvia St   ,BON,"4/2,0,0,0",1969,49,"700,000 ",Bonita ,2915 Sylvia St    Bonita ,32.682387,-117.0214101
79,"$710,000 ",TWNHS,1763,Nolina Ct   ,CAR,"3/2,0,1,0",2000,18,"710,000 ",Carlsbad ,1763 Nolina Ct    Carlsbad ,33.1141294,-117.2765389
80,"$745,000 ",SFR/D,1807,Vista De La Montana   ,ELC,"4/3,0,1,0",2018/ASR,0,"745,000 ",El Cajon ,1807 Vista De La Montana    El Cajon ,32.7960867,-116.8379412
81,"$750,000 ",SFR/D,9091,Meadowrun Pl   ,SD,"4/2,0,1,0",1985,33,"750,000 ",San Diego (City) ,9091 Meadowrun Pl    San Diego (City) ,32.9769956,-117.1332081
82,"$753,000 ",SFR,15290,Andorra Way   ,SD,"3/2,0,0,0",1977,41,"753,000 ",San Diego (City) ,15290 Andorra Way    San Diego (City) ,32.9917723,-117.0848095
83,"$766,500 ",SFR,3526,Ethan Allen Ave   ,SD,"2/2,0,0,0",1969,49,"766,500 ",San Diego (City) ,3526 Ethan Allen Ave    San Diego (City) ,32.8029965,-117.2115157
84,"$770,000 ",SFR,17734,Azucar Way   ,SD,"3/2,0,0,0",1982,36,"770,000 ",San Diego (City) ,17734 Azucar Way    San Diego (City) ,33.0379308,-117.0843958
85,"$784,000 ",SFR/D,6342,Farley Dr   ,SD,"4/2,0,0,0",1971,47,"784,000 ",San Diego (City) ,6342 Farley Dr    San Diego (City) ,32.8543566,-117.1986968
86,"$801,000 ",TWNHS/A,7105,Calabria Ct    #A,SD,"3/2,0,1,0",1992,26,"801,000 ",San Diego (City) ,7105 Calabria Ct    #A San Diego (City) ,32.86464300000001,-117.203606
87,"$820,000 ",SFR/D,1872,Magdalene Way   ,SD,"3/2,0,0,0",1966/ASR,52,"820,000 ",San Diego (City) ,1872 Magdalene Way    San Diego (City) ,32.7794313,-117.2009838
88,"$850,000 ",SFR/D,6952,Sandcastle Dr   ,CAR,"3/2,0,1,0",1988,30,"850,000 ",Carlsbad ,6952 Sandcastle Dr    Carlsbad ,33.1056348,-117.3089495
89,"$850,000 ",SFR,6839,Summit Ridge Way   ,SD,"4/3,0,0,0",1971,47,"850,000 ",San Diego (City) ,6839 Summit Ridge Way    San Diego (City) ,32.8101619,-117.0563074
90,"$875,000 ",SFR/D,3412,Buena Creek Rd   ,VST,"5/3,0,0,0",1990/ASR,28,"875,000 ",Vista ,3412 Buena Creek Rd    Vista ,33.1892331,-117.1852251
91,"$880,000 ",SFR/D,11430,Village Ridge Rd   ,SD,"4/3,0,0,0",1997,21,"880,000 ",San Diego (City) ,11430 Village Ridge Rd    San Diego (City) ,32.935237,-117.086311
92,"$880,000 ",SFR/D,489,Miguel Trail Pl   ,CHU,"6/3,0,0,0",2004,14,"880,000 ",Chula Vista ,489 Miguel Trail Pl    Chula Vista ,32.66661000000001,-116.9636489
93,"$885,000 ",SFR/D,2307,Ranchview Place   ,ESC,"6/4,0,0,0",1999/ASR,19,"885,000 ",Escondido ,2307 Ranchview Place    Escondido ,33.1220198,-117.0048789
94,"$915,000 ",SFR/D,3228,Rancho Companero   ,CAR,"4/2,0,0,0",2000,18,"915,000 ",Carlsbad ,3228 Rancho Companero    Carlsbad ,33.1261863,-117.2367235
95,"$950,000 ",SFR,3621,Texas St   ,SD,"3/2,0,0,0",1925,93,"950,000 ",San Diego (City) ,3621 Texas St    San Diego (City) ,32.74421,-117.138666
96,"$1,022,500 ",TWNHS/A,2225,Caminito Loreta   ,LAJ,"3/2,0,1,0",1971/ASR,47,"1,022,500 ",La Jolla ,2225 Caminito Loreta    La Jolla ,32.821401,-117.238278
97,"$1,025,000 ",SFR,15914,Bass Lane   ,SD,"4/3,0,0,0",2016,2,"1,025,000 ",San Diego (City) ,15914 Bass Lane    San Diego (City) ,33.0129796,-117.1263144
98,"$1,330,000 ",SFR,13518,Calle Colina   ,POW,"5/3,0,0,0",1994,24,"1,330,000 ",Poway ,13518 Calle Colina    Poway ,33.0114801,-117.0430435
99,"$1,350,000 ",CONDO/A,1040,Coast Blvd S    #104,LAJ,"2/2,0,0,0",1990,28,"1,350,000 ",La Jolla ,1040 Coast Blvd S    #104 La Jolla ,32.8486251,-117.2749089
100,"$1,389,900 ",CONDO/A,3636,7th Avenue   ,SD,"3/3,0,0,0",2018/BLD,0,"1,389,900 ",San Diego (City) ,3636 7th Avenue    San Diego (City) ,32.7441473,-117.1585908
101,"$1,476,000 ",CONDO/A,3654,7th Avenue   ,SD,"3/3,0,0,0",2018/BLD,0,"1,476,000 ",San Diego (City) ,3654 7th Avenue    San Diego (City) ,32.7444275,-117.1584785
102,"$1,482,500 ",SFR,11295,Corte Belleza   ,SD,"5/4,0,0,0",2000,18,"1,482,500 ",San Diego (City) ,11295 Corte Belleza    San Diego (City) ,32.9235638,-117.2160981
103,"$1,600,000 ",SFR/D,4250,North Ln   ,DEM,"3/2,0,0,0",1958,60,"1,600,000 ",Del Mar  ,4250 North Ln    Del Mar  ,32.9904863,-117.2407656
104,"$1,700,000 ",SFR/D,2008,Freda Lane   ,CAS,"3/2,0,0,0",1975,43,"1,700,000 ",Cardiff by the Sea ,2008 Freda Lane    Cardiff by the Sea ,33.0214406,-117.2697702
105,"$1,750,000 ",SFR/D,7004,Corintia St   ,CAR,"4/4,0,1,0",2007,11,"1,750,000 ",Carlsbad ,7004 Corintia St    Carlsbad ,33.1049576,-117.237711
106,"$2,045,550 ",CONDO,2858,6th Avenue    #105,SD,"3/3,0,1,0",2017,1,"2,045,550 ",San Diego (City) ,2858 6th Avenue    #105 San Diego (City) ,32.735428,-117.1595949
107,"$4,275,000 ",SFR/D,1003,Olive Avenue   ,CORO,"5/6,0,1,0",2012,6,"4,275,000 ",Coronado ,1003 Olive Avenue    Coronado ,32.6880535,-117.1858224
108,"$4,510,000 ",SFR/D,197,Pacific Ave   ,SOL,"4/3,0,1,0",1985,33,"4,510,000 ",Solana Beach ,197 Pacific Ave    Solana Beach ,32.9924807,-117.2746612
109,"$865,000 ",SFR/D,111,Prospect AVE  ,LONG,"2/1,0,0,0",1924/ASR,94,"865,000 ",Long Beach ,111 Prospect AVE   Long Beach ,33.7599089,-118.1418872
110,"$1,200,000 ",SFR/D,166,Savona WALK  ,LONG,"2/2,0,0,0",1946/ASR,72,"1,200,000 ",Long Beach ,166 Savona WALK   Long Beach ,33.7539563,-118.1194686
111,"$3,700,000 ",SFR/D,5515 E,Sorrento DR  ,LONG,"3/3,0,0,0",1952/PUB,66,"3,700,000 ",Long Beach ,5515 E Sorrento DR   Long Beach ,33.7593043,-118.1259604
112,"$290,000 ",CONDO/A,280,Molino AVE   #303,LONG,"1/1,0,0,0",1970/ASR,48,"290,000 ",Long Beach ,280 Molino AVE   #303 Long Beach ,33.7671777,-118.160288
113,"$370,000 ",CONDO/A,525 E,Seaside WAY   #1011,LONG,"1/1,0,0,0",1990/ASR,28,"370,000 ",Long Beach ,525 E Seaside WAY   #1011 Long Beach ,33.7659136,-118.1856882
114,"$560,000 ",CONDO/A,300 E,4th ST   #312,LONG,"2/2,0,0,0",2008/ASR,10,"560,000 ",Long Beach ,300 E 4th ST   #312 Long Beach ,33.7713421,-118.188772
115,"$450,000 ",SFR/D,1510 E,Phillips ST  ,LONG,"2/2,0,0,0",1957/ASR,61,"450,000 ",Long Beach ,1510 E Phillips ST   Long Beach ,33.858231,-118.1741843
116,"$725,000 ",TWNHS/A,7942,Moonmist CIR   #105,HB,"2/2,0,1,0",1981/ASR,37,"725,000 ",Huntington Beach ,7942 Moonmist CIR   #105 Huntington Beach ,33.6555562,-117.9903317
117,"$1,500,000 ",SFR/D,116,10th ST  ,HB,"3/2,0,1,0",1979/OTH,39,"1,500,000 ",Huntington Beach ,116 10th ST   Huntington Beach ,33.6610794,-118.0060058
118,"$653,800 ",SFR/D,16752,Jeffrey CIR  ,HB,"4/2,0,0,0",1962/PUB,56,"653,800 ",Huntington Beach ,16752 Jeffrey CIR   Huntington Beach ,33.7189781,-117.9820782
119,"$775,000 ",SFR/D,15451,Columbia LN  ,HB,"3/2,0,0,0",1962/ASR,56,"775,000 ",Huntington Beach ,15451 Columbia LN   Huntington Beach ,33.7376585,-118.0180369
120,"$7,500,000 ",SFR/D,3542,Courtside CIR  ,HB,"4/5,0,0,0",2018/BLD,0,"7,500,000 ",Huntington Beach ,3542 Courtside CIR   Huntington Beach ,33.718359,-118.066064
121,"$612,000 ",SFR/D,6810 E,Septimo ST  ,LONG,"3/2,0,0,0",1959/ASR,59,"612,000 ",Long Beach ,6810 E Septimo ST   Long Beach ,33.7751654,-118.1007689
122,"$585,000 ",SFR/A,5055,Hampton CT  ,WTM,"3/1,1,1,0",1972/PUB,46,"585,000 ",Westminster ,5055 Hampton CT   Westminster ,33.754792,-118.0414454
123,"$755,000 ",SFR/D,15591,Irene WAY  ,WTM,"5/3,0,0,0",1961/ASR,57,"755,000 ",Westminster ,15591 Irene WAY   Westminster ,33.7362117,-117.9513293
124,"$230,000 ",CONDO/A,1104 S,Mantle LN   #28D,SA,"2/1,0,0,0",1977/ASR,41,"230,000 ",Santa Ana ,1104 S Mantle LN   #28D Santa Ana ,33.7350713,-117.8432262
125,"$1,275,000 ",SFR/D,3449 S,Sheffield RD  ,SA,"5/4,0,1,0",2004/ASR,14,"1,275,000 ",Santa Ana ,3449 S Sheffield RD   Santa Ana ,33.7007191,-117.8926079
126,"$510,000 ",SFR/D,501 S,Forest AVE  ,SA,"3/2,0,0,0",1960/ASR,58,"510,000 ",Santa Ana ,501 S Forest AVE   Santa Ana ,33.7409203,-117.8896782
127,"$425,000 ",CONDO/A,700 W,La Veta AVE   #B1,ORG,"3/2,0,1,0",1972/PUB,46,"425,000 ",Orange ,700 W La Veta AVE   #B1 Orange ,33.779504,-117.8607566
128,"$707,000 ",SFR/D,790 N,Fern ST  ,ORG,"3/2,0,0,0",1964/ASR,54,"707,000 ",Orange ,790 N Fern ST   Orange ,33.800284,-117.8263575
129,"$1,055,000 ",SFR/D,1711 N,Modoc ST  ,ORG,"4/3,0,0,0",1974/ASR,44,"1,055,000 ",Orange ,1711 N Modoc ST   Orange ,33.8167285,-117.7981927
130,"$560,000 ",TWNHS/A,6543 E,Camino Vista    #2,AH,"3/2,0,1,0",1975/ASR,43,"560,000 ",Anaheim Hills ,6543 E Camino Vista    #2 Anaheim Hills ,33.840304,-117.761046
131,"$515,000 ",SFR/D,211 S,Date ST  E,ANA,"3/1,0,0,0",1953/ASR,65,"515,000 ",Anaheim ,211 S Date ST  E Anaheim ,33.8395257,-117.893203
132,"$475,000 ",TWNHS/A,63,Candlewood WAY  ,BP,"3/2,0,0,0",1975/ASR,43,"475,000 ",Buena Park ,63 Candlewood WAY   Buena Park ,33.894766,-117.985384
133,"$340,000 ",CONDO/A,3026,Associated RD   #101,FUL,"2/2,0,0,0",1977/ASR,41,"340,000 ",Fullerton ,3026 Associated RD   #101 Fullerton ,33.9044715,-117.8821611
134,"$565,000 ",SFR/D,1413,Ponderosa AVE  ,FUL,"3/1,0,1,0",1958/ASR,60,"565,000 ",Fullerton ,1413 Ponderosa AVE   Fullerton ,33.9060507,-117.9031361
135,"$1,040,000 ",SFR/D,910 W,VALENCIA MESA DR  ,FUL,"4/2,1,1,0",1950/ASR,68,"1,040,000 ",Fullerton ,910 W VALENCIA MESA DR   Fullerton ,33.8868006,-117.9395225
136,"$540,000 ",CONDO/D,13460 S,Gamble CT  ,TUS,"2/2,0,0,0",1994/ASR,24,"540,000 ",Tustin ,13460 S Gamble CT   Tustin ,33.7291043,-117.794141
137,"$425,000 ",SFR/D,8105 S,8th AVE  ,ING,"2/1,0,0,0",1941/ASR,77,"425,000 ",Inglewood ,8105 S 8th AVE   Inglewood ,33.9650635,-118.3267207
138,"$885,000 ",CONDO/A,13024,Union AVE   #404,HAWT,"2/2,0,0,0",2010/PUB,8,"885,000 ",Hawthorne ,13024 Union AVE   #404 Hawthorne ,33.9146645,-118.3770781
139,"$490,000 ",SFR/D,13336,Washington AVE  ,HAWT,"3/2,0,1,0",1968/PUB,50,"490,000 ",Hawthorne ,13336 Washington AVE   Hawthorne ,33.9113162,-118.3493223
140,"$600,000 ",SFR/D,18411 S,Dalton AVE  ,GR,"3/1,1,0,0",1958/ASR,60,"600,000 ",Gardena ,18411 S Dalton AVE   Gardena ,33.8633815,-118.3042075
141,"$895,000 ",SFR/D,2886 W,232nd ST  ,TORR,"4/3,0,0,0",1963/ASR,55,"895,000 ",Torrance ,2886 W 232nd ST   Torrance ,33.8172741,-118.3381361
142,"$1,720,000 ",SFR/D,4818,Reese RD  ,TORR,"4/3,0,0,0",1950/ASR,68,"1,720,000 ",Torrance ,4818 Reese RD   Torrance ,33.8188514,-118.3659634
